WBAN;YearMonthDay;Tmax;Tmin;Tavg;Depart;DewPoint;WetBulb;Heat;Cool;Sunrise;Sunset;CodeSum;Depth;Water1;SnowFall;PrecipTotal;StnPressure;SeaLevel;ResultSpeed;ResultDir;AvgSpeed;Max5Speed;Max5Dir;Max2Speed;Max2Dir
14819;20070618;89;73;81;M;65;70;0;16;-;-;TSRA RA HZ;M;M;M;0.02;29.19;29.83;12.2;20;12.6;37;200;28;190
14819;20070619;81;65;73;M;55;63;0;8;-;-;RA BR;M;M;M;0.93;29.31;29.93;10.1;29;11.3;29;280;22;300
14819;20070620;85;62;74;M;50;61;0;9;-;-; ;M;M;M;0.00;29.46;30.09;5.9;28;7.7;21;330;17;340
14819;20070621;80;66;73;M;51;61;0;8;-;-;RA;M;M;M;  T;29.41;30.06;3.7;2;9.6;23;320;17;60
14819;20070622;75;62;69;M;49;58;0;4;-;-;RA;M;M;M;  T;29.39;30.05;6.5;7;8.1;23;80;18;70
14819;20070623;68;61;65;M;60;62;0;0;-;-;RA BR;M;M;M;0.34;29.28;29.95;7.3;11;8.1;17;120;14;120
14819;20070624;75;65;70;M;62;65;0;5;-;-;BR HZ;M;M;M;0.00;29.33;29.96;5.6;10;6.0;18;60;10;110
14819;20070625;86;67;77;M;67;70;0;12;-;-;BR HZ;M;M;M;0.00;29.44;30.06;4.0;12;5.9;17;110;14;100
14819;20070626;91;73;82;M;69;72;0;17;-;-;BR HZ;M;M;M;  T;29.45;30.09;7.3;21;8.1;40;210;29;200
14819;20070627;89;71;80;M;69;72;0;15;-;-;TSRA RA BR;M;M;M;0.35;29.36;30.00;7.9;24;8.5;39;320;31;320
14819;20070628;73;61;67;M;56;61;0;2;-;-; ;M;M;M;M;29.43;30.07;12.2;2;13.3;26;20;21;30
14819;20070629;71;56;64;M;56;60;1;0;-;-; ;M;M;M;M;29.47;30.11;7.4;2;8.2;20;20;15;10
14819;20070630;77;58;68;M;49;58;0;3;-;-; ;M;M;M;0.00;29.46;30.11;5.1;4;6.2;18;50;15;40
94846;20070601;85;62;74;10;63;66;0;9;419;1920;TSRA BR HZ;M;M;M;0.19;29.19;29.91;4.2;17;6.4;32;260;25;260
94846;20070602;81;65;73;9;63;67;0;8;419;1920;RA BR;M;M;M;0.04;29.03;29.77;6.5;22;7.4;24;220;18;220
94846;20070603;78;62;70;6;60;63;0;5;418;1921;TSRA RA BR HZ;M;M;M;0.01;28.82;29.56;5.2;25;6.7;26;260;23;260
94846;20070604;71;58;65;1;58;60;0;0;418;1922;TSRA RA BR;M;M;M;0.39;28.82;29.52;7.8;31;9.7;28;320;23;320
94846;20070605;64;47;56;-9;48;51;9;0;417;1923;RA BR;M;M;M;0.42;29.10;29.79;5.2;5;7.6;25;50;20;40
94846;20070606;71;44;58;-8;48;55;7;0;417;1923;RA;M;M;M;0.01;29.07;29.81;10.8;17;11.4;30;160;21;180
94846;20070607;91;71;81;15;62;69;0;16;417;1924; ;M;M;M;0.00;28.84;29.55;22.7;20;23.1;45;190;35;210
94846;20070608;81;57;69;3;53;61;0;4;417;1925; ;M;M;M;0.00;29.18;29.85;10.9;28;13.8;31;200;25;210
94846;20070609;79;52;66;0;47;57;0;1;416;1925; ;M;M;M;0.00;29.36;30.07;0.3;33;5.0;21;80;13;260
94846;20070610;81;55;68;1;51;59;0;3;416;1926; ;M;M;M;0.00;29.34;30.05;4.8;17;5.6;17;230;15;190
94846;20070611;86;58;72;5;52;61;0;7;416;1926; ;M;M;M;0.00;29.41;30.11;4.9;11;6.9;22;80;15;100
94846;20070612;83;62;73;5;50;60;0;8;416;1927; ;M;M;M;0.00;29.44;30.16;8.3;5;8.8;30;70;17;60
94846;20070613;87;60;74;6;53;62;0;9;416;1927; ;M;M;M;0.00;29.36;30.09;7.2;5;8.6;24;50;17;90
94846;20070614;89;64;77;9;55;64;0;12;416;1928; ;M;M;M;0.00;29.30;30.02;5.6;5;6.8;28;70;15;80
94846;20070615;91;63;77;9;56;64;0;12;416;1928; ;M;M;M;0.00;29.28;29.99;4.1;6;4.9;25;70;15;70
94846;20070616;93;66;80;11;60;67;0;15;416;1929;RA HZ;M;M;M;  T;29.26;29.97;4.8;28;5.8;24;330;20;320
94846;20070617;91;70;81;12;64;70;0;16;416;1929;HZ;M;M;M;0.00;29.23;29.95;2.8;11;6.3;22;80;16;120
94846;20070618;89;69;79;9;65;70;0;14;416;1929;TSRA RA HZ;M;M;M;0.28;29.12;29.84;14.0;20;15.1;52;230;36;240
94846;20070619;80;65;73;3;55;63;0;8;416;1930;RA;M;M;M;0.58;29.26;29.95;10.7;28;11.4;26;270;21;280
94846;20070620;84;61;73;3;52;61;0;8;416;1930; ;M;M;M;0.00;29.39;30.10;7.8;27;8.8;22;310;17;300
94846;20070621;77;61;69;-1;51;60;0;4;416;1930;RA;M;M;M;0.01;29.36;30.08;3.5;3;10.7;30;50;18;300
94846;20070622;76;61;69;-1;50;58;0;4;417;1931;RA;M;M;M;  T;29.33;30.06;7.8;6;8.7;28;90;20;80
94846;20070623;67;62;65;-5;58;61;0;0;417;1931;RA BR;M;M;M;0.05;29.23;29.96;7.6;12;9.0;21;60;16;120
94846;20070624;77;63;70;-1;62;65;0;5;417;1931;BR HZ;M;M;M;0.00;29.26;29.97;7.0;9;8.0;23;80;12;130
94846;20070625;89;65;77;6;66;70;0;12;417;1931;BR HZ;M;M;M;0.00;29.38;30.07;3.9;14;6.8;8;180;8;180
